datafile_id,file_name,sequencing_id,submitter_id,data_type,data_category,data_format,file_size,md5sum,file_path,node
SRR1216011_2.fastq.gz,SRR1216011_2.fastq.gz,sequence_GSM1361989,GSE47774,Unaligned Reads,RNA-seq,FASTQ,880251400 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216011_2.fastq.gz,
SRR1216012_1.fastq.gz,SRR1216012_1.fastq.gz,sequence_GSM1361990,GSE47774,Unaligned Reads,RNA-seq,FASTQ,903756818 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216012_1.fastq.gz,
SRR1216012_2.fastq.gz,SRR1216012_2.fastq.gz,sequence_GSM1361990,GSE47774,Unaligned Reads,RNA-seq,FASTQ,903031872 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216012_2.fastq.gz,
SRR1216013_1.fastq.gz,SRR1216013_1.fastq.gz,sequence_GSM1361991,GSE47774,Unaligned Reads,RNA-seq,FASTQ,887953952 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216013_1.fastq.gz,
SRR1216013_2.fastq.gz,SRR1216013_2.fastq.gz,sequence_GSM1361991,GSE47774,Unaligned Reads,RNA-seq,FASTQ,893258968 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216013_2.fastq.gz,
SRR1216014_1.fastq.gz,SRR1216014_1.fastq.gz,sequence_GSM1361992,GSE47774,Unaligned Reads,RNA-seq,FASTQ,870474046 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216014_1.fastq.gz,
SRR1216014_2.fastq.gz,SRR1216014_2.fastq.gz,sequence_GSM1361992,GSE47774,Unaligned Reads,RNA-seq,FASTQ,880994366 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216014_2.fastq.gz,
SRR1216015_1.fastq.gz,SRR1216015_1.fastq.gz,sequence_GSM1361993,GSE47774,Unaligned Reads,RNA-seq,FASTQ,889570031 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216015_1.fastq.gz,
SRR1216015_2.fastq.gz,SRR1216015_2.fastq.gz,sequence_GSM1361993,GSE47774,Unaligned Reads,RNA-seq,FASTQ,895098273 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216015_2.fastq.gz,
SRR1216016_1.fastq.gz,SRR1216016_1.fastq.gz,sequence_GSM1361994,GSE47774,Unaligned Reads,RNA-seq,FASTQ,885387735 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216016_1.fastq.gz,
SRR1216016_2.fastq.gz,SRR1216016_2.fastq.gz,sequence_GSM1361994,GSE47774,Unaligned Reads,RNA-seq,FASTQ,891432425 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216016_2.fastq.gz,
SRR1216017_1.fastq.gz,SRR1216017_1.fastq.gz,sequence_GSM1361995,GSE47774,Unaligned Reads,RNA-seq,FASTQ,877423118 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216017_1.fastq.gz,
SRR1216017_2.fastq.gz,SRR1216017_2.fastq.gz,sequence_GSM1361995,GSE47774,Unaligned Reads,RNA-seq,FASTQ,883950700 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216017_2.fastq.gz,
SRR1216018_1.fastq.gz,SRR1216018_1.fastq.gz,sequence_GSM1361996,GSE47774,Unaligned Reads,RNA-seq,FASTQ,857870399 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216018_1.fastq.gz,
SRR1216018_2.fastq.gz,SRR1216018_2.fastq.gz,sequence_GSM1361996,GSE47774,Unaligned Reads,RNA-seq,FASTQ,865763339 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216018_2.fastq.gz,
SRR1216019_1.fastq.gz,SRR1216019_1.fastq.gz,sequence_GSM1361997,GSE47774,Unaligned Reads,RNA-seq,FASTQ,889158693 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216019_1.fastq.gz,
SRR1216019_2.fastq.gz,SRR1216019_2.fastq.gz,sequence_GSM1361997,GSE47774,Unaligned Reads,RNA-seq,FASTQ,888082021 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216019_2.fastq.gz,
SRR1216020_1.fastq.gz,SRR1216020_1.fastq.gz,sequence_GSM1361998,GSE47774,Unaligned Reads,RNA-seq,FASTQ,874469422 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216020_1.fastq.gz,
SRR1216020_2.fastq.gz,SRR1216020_2.fastq.gz,sequence_GSM1361998,GSE47774,Unaligned Reads,RNA-seq,FASTQ,879187221 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216020_2.fastq.gz,
SRR1216021_1.fastq.gz,SRR1216021_1.fastq.gz,sequence_GSM1361999,GSE47774,Unaligned Reads,RNA-seq,FASTQ,857560033 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216021_1.fastq.gz,
SRR1216021_2.fastq.gz,SRR1216021_2.fastq.gz,sequence_GSM1361999,GSE47774,Unaligned Reads,RNA-seq,FASTQ,867571268 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216021_2.fastq.gz,
SRR1216022_1.fastq.gz,SRR1216022_1.fastq.gz,sequence_GSM1362000,GSE47774,Unaligned Reads,RNA-seq,FASTQ,875427893 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216022_1.fastq.gz,
SRR1216022_2.fastq.gz,SRR1216022_2.fastq.gz,sequence_GSM1362000,GSE47774,Unaligned Reads,RNA-seq,FASTQ,880470209 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216022_2.fastq.gz,
SRR1216023_1.fastq.gz,SRR1216023_1.fastq.gz,sequence_GSM1362001,GSE47774,Unaligned Reads,RNA-seq,FASTQ,870797256 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216023_1.fastq.gz,
SRR1216023_2.fastq.gz,SRR1216023_2.fastq.gz,sequence_GSM1362001,GSE47774,Unaligned Reads,RNA-seq,FASTQ,876533710 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216023_2.fastq.gz,
SRR1216024_1.fastq.gz,SRR1216024_1.fastq.gz,sequence_GSM1362002,GSE47774,Unaligned Reads,RNA-seq,FASTQ,918325757 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216024_1.fastq.gz,
SRR1216024_2.fastq.gz,SRR1216024_2.fastq.gz,sequence_GSM1362002,GSE47774,Unaligned Reads,RNA-seq,FASTQ,924849301 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216024_2.fastq.gz,
SRR1216025_1.fastq.gz,SRR1216025_1.fastq.gz,sequence_GSM1362003,GSE47774,Unaligned Reads,RNA-seq,FASTQ,898888258 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216025_1.fastq.gz,
SRR1216025_2.fastq.gz,SRR1216025_2.fastq.gz,sequence_GSM1362003,GSE47774,Unaligned Reads,RNA-seq,FASTQ,906850375 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216025_2.fastq.gz,
SRR1216026_1.fastq.gz,SRR1216026_1.fastq.gz,sequence_GSM1362004,GSE47774,Unaligned Reads,RNA-seq,FASTQ,932635103 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216026_1.fastq.gz,
SRR1216026_2.fastq.gz,SRR1216026_2.fastq.gz,sequence_GSM1362004,GSE47774,Unaligned Reads,RNA-seq,FASTQ,930985859 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216026_2.fastq.gz,
SRR1216027_1.fastq.gz,SRR1216027_1.fastq.gz,sequence_GSM1362005,GSE47774,Unaligned Reads,RNA-seq,FASTQ,916952622 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216027_1.fastq.gz,
SRR1216027_2.fastq.gz,SRR1216027_2.fastq.gz,sequence_GSM1362005,GSE47774,Unaligned Reads,RNA-seq,FASTQ,921403768 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216027_2.fastq.gz,
SRR1216028_1.fastq.gz,SRR1216028_1.fastq.gz,sequence_GSM1362006,GSE47774,Unaligned Reads,RNA-seq,FASTQ,896666896 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216028_1.fastq.gz,
SRR1216028_2.fastq.gz,SRR1216028_2.fastq.gz,sequence_GSM1362006,GSE47774,Unaligned Reads,RNA-seq,FASTQ,907010409 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216028_2.fastq.gz,
SRR1216029_1.fastq.gz,SRR1216029_1.fastq.gz,sequence_GSM1362007,GSE47774,Unaligned Reads,RNA-seq,FASTQ,914726348 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216029_1.fastq.gz,
SRR1216029_2.fastq.gz,SRR1216029_2.fastq.gz,sequence_GSM1362007,GSE47774,Unaligned Reads,RNA-seq,FASTQ,919588695 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216029_2.fastq.gz,
SRR1216030_1.fastq.gz,SRR1216030_1.fastq.gz,sequence_GSM1362008,GSE47774,Unaligned Reads,RNA-seq,FASTQ,911396923 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216030_1.fastq.gz,
SRR1216030_2.fastq.gz,SRR1216030_2.fastq.gz,sequence_GSM1362008,GSE47774,Unaligned Reads,RNA-seq,FASTQ,917161037 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216030_2.fastq.gz,
SRR1216031_1.fastq.gz,SRR1216031_1.fastq.gz,sequence_GSM1362009,GSE47774,Unaligned Reads,RNA-seq,FASTQ,960231176 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216031_1.fastq.gz,
SRR1216031_2.fastq.gz,SRR1216031_2.fastq.gz,sequence_GSM1362009,GSE47774,Unaligned Reads,RNA-seq,FASTQ,968232027 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216031_2.fastq.gz,
SRR1216032_1.fastq.gz,SRR1216032_1.fastq.gz,sequence_GSM1362010,GSE47774,Unaligned Reads,RNA-seq,FASTQ,937992140 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216032_1.fastq.gz,
SRR1216032_2.fastq.gz,SRR1216032_2.fastq.gz,sequence_GSM1362010,GSE47774,Unaligned Reads,RNA-seq,FASTQ,947565566 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216032_2.fastq.gz,
SRR1216033_1.fastq.gz,SRR1216033_1.fastq.gz,sequence_GSM1362011,GSE47774,Unaligned Reads,RNA-seq,FASTQ,973421992 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216033_1.fastq.gz,
SRR1216033_2.fastq.gz,SRR1216033_2.fastq.gz,sequence_GSM1362011,GSE47774,Unaligned Reads,RNA-seq,FASTQ,973046045 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216033_2.fastq.gz,
SRR1216034_1.fastq.gz,SRR1216034_1.fastq.gz,sequence_GSM1362012,GSE47774,Unaligned Reads,RNA-seq,FASTQ,956500790 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216034_1.fastq.gz,
SRR1216034_2.fastq.gz,SRR1216034_2.fastq.gz,sequence_GSM1362012,GSE47774,Unaligned Reads,RNA-seq,FASTQ,962800121 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216034_2.fastq.gz,
SRR1216035_1.fastq.gz,SRR1216035_1.fastq.gz,sequence_GSM1362013,GSE47774,Unaligned Reads,RNA-seq,FASTQ,937735808 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216035_1.fastq.gz,
SRR1216035_2.fastq.gz,SRR1216035_2.fastq.gz,sequence_GSM1362013,GSE47774,Unaligned Reads,RNA-seq,FASTQ,949601251 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216035_2.fastq.gz,
SRR1216036_1.fastq.gz,SRR1216036_1.fastq.gz,sequence_GSM1362014,GSE47774,Unaligned Reads,RNA-seq,FASTQ,957205778 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216036_1.fastq.gz,
SRR1216036_2.fastq.gz,SRR1216036_2.fastq.gz,sequence_GSM1362014,GSE47774,Unaligned Reads,RNA-seq,FASTQ,963443945 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216036_2.fastq.gz,
SRR1216037_1.fastq.gz,SRR1216037_1.fastq.gz,sequence_GSM1362015,GSE47774,Unaligned Reads,RNA-seq,FASTQ,952452994 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216037_1.fastq.gz,
SRR1216037_2.fastq.gz,SRR1216037_2.fastq.gz,sequence_GSM1362015,GSE47774,Unaligned Reads,RNA-seq,FASTQ,959382417 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216037_2.fastq.gz,
SRR1216038_1.fastq.gz,SRR1216038_1.fastq.gz,sequence_GSM1362016,GSE47774,Unaligned Reads,RNA-seq,FASTQ,643023148 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216038_1.fastq.gz,
SRR1216038_2.fastq.gz,SRR1216038_2.fastq.gz,sequence_GSM1362016,GSE47774,Unaligned Reads,RNA-seq,FASTQ,648325472 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216038_2.fastq.gz,
SRR1216039_1.fastq.gz,SRR1216039_1.fastq.gz,sequence_GSM1362017,GSE47774,Unaligned Reads,RNA-seq,FASTQ,628565107 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216039_1.fastq.gz,
SRR1216039_2.fastq.gz,SRR1216039_2.fastq.gz,sequence_GSM1362017,GSE47774,Unaligned Reads,RNA-seq,FASTQ,634830027 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216039_2.fastq.gz,
SRR1216040_1.fastq.gz,SRR1216040_1.fastq.gz,sequence_GSM1362018,GSE47774,Unaligned Reads,RNA-seq,FASTQ,651371346 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216040_1.fastq.gz,
SRR1216040_2.fastq.gz,SRR1216040_2.fastq.gz,sequence_GSM1362018,GSE47774,Unaligned Reads,RNA-seq,FASTQ,650916094 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216040_2.fastq.gz,
SRR1216041_1.fastq.gz,SRR1216041_1.fastq.gz,sequence_GSM1362019,GSE47774,Unaligned Reads,RNA-seq,FASTQ,640414095 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216041_1.fastq.gz,
SRR1216041_2.fastq.gz,SRR1216041_2.fastq.gz,sequence_GSM1362019,GSE47774,Unaligned Reads,RNA-seq,FASTQ,643909488 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216041_2.fastq.gz,
SRR1216042_1.fastq.gz,SRR1216042_1.fastq.gz,sequence_GSM1362020,GSE47774,Unaligned Reads,RNA-seq,FASTQ,627642896 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216042_1.fastq.gz,
SRR1216042_2.fastq.gz,SRR1216042_2.fastq.gz,sequence_GSM1362020,GSE47774,Unaligned Reads,RNA-seq,FASTQ,635434001 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216042_2.fastq.gz,
SRR1216043_1.fastq.gz,SRR1216043_1.fastq.gz,sequence_GSM1362021,GSE47774,Unaligned Reads,RNA-seq,FASTQ,641051474 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216043_1.fastq.gz,
SRR1216043_2.fastq.gz,SRR1216043_2.fastq.gz,sequence_GSM1362021,GSE47774,Unaligned Reads,RNA-seq,FASTQ,645055681 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216043_2.fastq.gz,
SRR1216044_1.fastq.gz,SRR1216044_1.fastq.gz,sequence_GSM1362022,GSE47774,Unaligned Reads,RNA-seq,FASTQ,638285759 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216044_1.fastq.gz,
SRR1216044_2.fastq.gz,SRR1216044_2.fastq.gz,sequence_GSM1362022,GSE47774,Unaligned Reads,RNA-seq,FASTQ,642320931 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216044_2.fastq.gz,
SRR1216045_1.fastq.gz,SRR1216045_1.fastq.gz,sequence_GSM1362023,GSE47774,Unaligned Reads,RNA-seq,FASTQ,989848724 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216045_1.fastq.gz,
SRR1216045_2.fastq.gz,SRR1216045_2.fastq.gz,sequence_GSM1362023,GSE47774,Unaligned Reads,RNA-seq,FASTQ,997636297 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216045_2.fastq.gz,
SRR1216046_1.fastq.gz,SRR1216046_1.fastq.gz,sequence_GSM1362024,GSE47774,Unaligned Reads,RNA-seq,FASTQ,966399776 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216046_1.fastq.gz,
SRR1216046_2.fastq.gz,SRR1216046_2.fastq.gz,sequence_GSM1362024,GSE47774,Unaligned Reads,RNA-seq,FASTQ,975466639 ,NA,oss://pgx-source-data/SampleAB/rawdata/published/GSE47774/ILM/NYG/SRR1216046_2.fastq.gz,
